Movies	recommendation
Absolute Power (1997) , Star Trek III: The Search for Spock (1984) , Titanic (1997) , Air Force One (1997)	['Green Mile, The (1999)', 'Inception (2010)', 'Firm, The (1993)', 'Dances with Wolves (1990)', 'Lion King, The (1994)', 'Waterworld (1995)', 'Net, The (1995)', 'Star Trek: Generations (1994)']
Toy Story (1995) , Aliens (1986) , Pulp Fiction (1994) , Fugitive, The (1993)	['Kill Bill: Vol. 1 (2003)', 'Mission: Impossible (1996)', 'Crimson Tide (1995)', 'Alien (1979)', 'Incredibles, The (2004)', 'Die Hard (1988)', 'Fight Club (1999)', 'Finding Nemo (2003)']
Toy Story (1995) ,  Butch Cassidy and the Sundance Kid (1969)	['Incredibles, The (2004)', 'Finding Nemo (2003)']
Remains of the Day, The (1993) , Apostle, The (1997) , Margaret's Museum (1995) , All About Eve (1950)	['Speed (1994)', 'Jumanji (1995)', 'Donnie Darko (2001)', 'Titanic (1997)', 'Clear and Present Danger (1994)', 'X-Men (2000)']
Seven (Se7en) (1995) ,  Monty Python's Life of Brian (1979) ,  Manon of the Spring (Manon des sources) (1986)	"[""'71 (2014)"", ""'Hellboy': The Seeds of Creation (2004)"", ""'Round Midnight (1986)"", ""'Salem's Lot (2004)"", ""'Til There Was You (1997)"", ""'Tis the Season for Love (2015)"", ""'burbs, The (1989)"", ""'night Mother (1986)""]"
Chasing Amy (1997) , Fargo (1996) , Chasing Amy (1997) , Leaving Las Vegas (1995)	"['Crimson Tide (1995)', 'Four Weddings and a Funeral (1994)', 'Apocalypse Now (1979)', ""Ocean's Eleven (2001)"", 'Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)', 'Up (2009)']"
Godfather, The (1972) , Contact (1997) , Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963) , Raging Bull (1980)	"['American Pie (1999)', ""Schindler's List (1993)"", 'Willy Wonka & the Chocolate Factory (1971)', 'Godfather: Part II, The (1974)', ""One Flew Over the Cuckoo's Nest (1975)"", 'Clear and Present Danger (1994)']"
Toy Story (1995) ,  Princess Bride, The (1987)	['Incredibles, The (2004)', 'Finding Nemo (2003)']
As Good As It Gets (1997) ,  Apt Pupil (1998)	"[""'71 (2014)"", ""'Hellboy': The Seeds of Creation (2004)"", ""'Round Midnight (1986)"", ""'Salem's Lot (2004)"", ""'Til There Was You (1997)"", ""'Tis the Season for Love (2015)"", ""'burbs, The (1989)"", ""'night Mother (1986)""]"
Gone with the Wind (1939) , It's a Wonderful Life (1946) , Ghost (1990) , Wizard of Oz, The (1939)	['E.T. the Extra-Terrestrial (1982)', 'Ghost (1990)', 'Clueless (1995)', 'Cliffhanger (1993)', 'Outbreak (1995)', 'Dark Knight, The (2008)', 'Home Alone (1990)', 'Green Mile, The (1999)']
Dante's Peak (1997) , Anna Karenina (1997) , Anne Frank Remembered (1995) , Evita (1996)	['Willy Wonka & the Chocolate Factory (1971)', 'Mission: Impossible (1996)', 'Shining, The (1980)', 'Interview with the Vampire: The Vampire Chronicles (1994)', 'Clear and Present Danger (1994)', 'Home Alone (1990)']
Butch Cassidy and the Sundance Kid (1969) ,  Birdcage, The (1996) ,  Victor/Victoria (1982)	['American Pie (1999)', 'WALL·E (2008)']
Dumbo (1941) , Like Water For Chocolate (Como agua para chocolate) (1992) , Adventures of Priscilla, Queen of the Desert, The (1994) , Pinocchio (1940)	"['Dumb & Dumber (Dumb and Dumber) (1994)', 'Willy Wonka & the Chocolate Factory (1971)', 'American History X (1998)', 'Blade Runner (1982)', 'Full Metal Jacket (1987)', ""Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)""]"
Alien (1979) , Psycho (1960) , L.A. Confidential (1997) , Jaws (1975)	"['E.T. the Extra-Terrestrial (1982)', ""One Flew Over the Cuckoo's Nest (1975)"", 'Full Metal Jacket (1987)', 'Catch Me If You Can (2002)', 'Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)', 'Aliens (1986)']"
Pulp Fiction (1994) ,  While You Were Sleeping (1995)	['Kill Bill: Vol. 1 (2003)', 'Fight Club (1999)']
Toy Story (1995) ,  This Is Spinal Tap (1984) ,  Amadeus (1984)	['Incredibles, The (2004)', 'Finding Nemo (2003)']
English Patient, The (1996) ,  Oscar & Lucinda (1997)	['Ace Ventura: Pet Detective (1994)', 'Apocalypse Now (1979)']
Rear Window (1954) ,  Trees Lounge (1996)	['Inception (2010)', 'Beautiful Mind, A (2001)']
Contact (1997) , Good Will Hunting (1997) , Heathers (1989) , L.A. Confidential (1997)	"['American Pie (1999)', 'Lord of the Rings: The Two Towers, The (2002)', ""One Flew Over the Cuckoo's Nest (1975)"", 'GoldenEye (1995)', 'Catch Me If You Can (2002)', 'Clear and Present Danger (1994)', 'Terminator, The (1984)']"
Casablanca (1942) ,  Blade Runner (1982)	"[""Ferris Bueller's Day Off (1986)"", 'Dark Knight, The (2008)']"
Crimson Tide (1995) , Princess Bride, The (1987) , Fugitive, The (1993) , Back to the Future (1985)	"['Truman Show, The (1998)', 'Mission: Impossible (1996)', 'Aladdin (1992)', 'Jumanji (1995)', ""Ocean's Eleven (2001)"", 'Die Hard (1988)', 'Aliens (1986)', 'Finding Nemo (2003)']"
Rebecca (1940) , Sound of Music, The (1965) , My Fair Lady (1964) , Schindler's List (1993)	"[""Schindler's List (1993)"", 'Rock, The (1996)', 'Saving Private Ryan (1998)', 'Four Weddings and a Funeral (1994)', 'Harry Potter and the Chamber of Secrets (2002)', 'Godfather, The (1972)', 'Big Lebowski, The (1998)', 'Star Trek: Generations (1994)']"
City of Lost Children, The (1995) , Trainspotting (1996) , Donnie Brasco (1997) , Star Wars (1977)	['Eternal Sunshine of the Spotless Mind (2004)', 'Twelve Monkeys (a.k.a. 12 Monkeys) (1995)', 'Departed, The (2006)']
Toy Story (1995) , Apollo 13 (1995) , Sneakers (1992) , Better Off Dead... (1985)	['Green Mile, The (1999)', 'Inception (2010)', 'Outbreak (1995)', 'Full Metal Jacket (1987)', 'Incredibles, The (2004)', 'Bourne Identity, The (2002)', 'Finding Nemo (2003)']
Sting, The (1973) , Devil's Advocate, The (1997) , Breakdown (1997) , Singin' in the Rain (1952)	"['Beautiful Mind, A (2001)', 'Dances with Wolves (1990)', ""There's Something About Mary (1998)"", ""Ferris Bueller's Day Off (1986)"", ""Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)"", 'Donnie Darko (2001)']"
Toy Story (1995) ,  Orlando (1993)	['Incredibles, The (2004)', 'Finding Nemo (2003)']
North by Northwest (1959) , Belle de jour (1967) , Supercop (1992) , Vertigo (1958)	"[""Ferris Bueller's Day Off (1986)"", 'Net, The (1995)', 'WALL·E (2008)', 'Memento (2000)']"
High Noon (1952) ,  Crumb (1994)	['Mask, The (1994)', 'Green Mile, The (1999)']
Casablanca (1942) , 2001: A Space Odyssey (1968) , Wrong Trousers, The (1993) , Harold and Maude (1971)	"['Kill Bill: Vol. 1 (2003)', 'Clockwork Orange, A (1971)', 'Taxi Driver (1976)', 'Jumanji (1995)', ""Ferris Bueller's Day Off (1986)"", 'Dark Knight, The (2008)']"
Room with a View, A (1986) , Henry V (1989) , Jean de Florette (1986) , Manon of the Spring (Manon des sources) (1986)	['Batman (1989)', 'Lord of the Rings: The Two Towers, The (2002)', 'Braveheart (1995)', 'Stargate (1994)', 'WALL·E (2008)', 'Princess Bride, The (1987)', 'Clear and Present Danger (1994)', 'Donnie Darko (2001)']
Toy Story (1995) , Psycho (1960) , Kids (1995) , Philadelphia (1993)	"[""One Flew Over the Cuckoo's Nest (1975)"", 'Spider-Man (2002)', 'Incredibles, The (2004)', 'Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)', 'Memento (2000)', 'Aliens (1986)', 'Finding Nemo (2003)']"
Shine (1996) ,  Titanic (1997) ,  Secrets & Lies (1996)	['Cliffhanger (1993)', 'Beautiful Mind, A (2001)']
Long Kiss Goodnight, The (1996) ,  Birdcage, The (1996) ,  North by Northwest (1959)	['Beauty and the Beast (1991)', 'Clear and Present Danger (1994)']
Jackal, The (1997) , Good Will Hunting (1997) , Contact (1997) , Game, The (1997)	['American Pie (1999)', 'Silence of the Lambs, The (1991)', 'GoldenEye (1995)', 'Full Metal Jacket (1987)', 'Jumanji (1995)', 'Incredibles, The (2004)', 'Catch Me If You Can (2002)', 'Clear and Present Danger (1994)']
Back to the Future (1985) , Star Wars (1977) , Butch Cassidy and the Sundance Kid (1969) , Sense and Sensibility (1995)	"['American Pie (1999)', 'Aladdin (1992)', 'Jumanji (1995)', ""Ocean's Eleven (2001)"", 'WALL·E (2008)', 'Eternal Sunshine of the Spotless Mind (2004)']"
Birdcage, The (1996) , Leaving Las Vegas (1995) , Willy Wonka and the Chocolate Factory (1971) , Full Monty, The (1997)	"['Inception (2010)', 'Four Weddings and a Funeral (1994)', 'Apocalypse Now (1979)', ""Ocean's Eleven (2001)"", 'Mrs. Doubtfire (1993)', 'Harry Potter and the Chamber of Secrets (2002)']"
To Kill a Mockingbird (1962) , Lone Star (1996) , Apt Pupil (1998) , Apostle, The (1997)	['Ghost (1990)', 'Clueless (1995)', 'Beauty and the Beast (1991)', 'Outbreak (1995)', 'Incredibles, The (2004)', 'Titanic (1997)', 'Harry Potter and the Chamber of Secrets (2002)', 'Clear and Present Danger (1994)']
Murder at 1600 (1997) ,  Rosewood (1997)	['Firm, The (1993)', 'Crimson Tide (1995)']
Tin Cup (1996) ,  Angels and Insects (1995)	['Mask, The (1994)', 'Monsters, Inc. (2001)']
Liar Liar (1997) , Titanic (1997) , Scream 2 (1997) , Good Will Hunting (1997)	['American Pie (1999)', 'Clueless (1995)', 'GoldenEye (1995)', 'Outbreak (1995)', 'Dances with Wolves (1990)', 'Catch Me If You Can (2002)', 'Net, The (1995)', 'Star Trek: Generations (1994)']
Shall We Dance? (1996) , Lone Star (1996) , Sense and Sensibility (1995) , Henry V (1989)	"['Outbreak (1995)', ""Ocean's Eleven (2001)"", 'Incredibles, The (2004)', 'WALL·E (2008)', 'Clear and Present Danger (1994)', 'Eternal Sunshine of the Spotless Mind (2004)']"
Rosewood (1997) , Devil's Own, The (1997) , Gattaca (1997) , Full Monty, The (1997)	"['Apocalypse Now (1979)', 'Fargo (1996)', 'Waterworld (1995)', 'WALL·E (2008)', ""There's Something About Mary (1998)"", 'Harry Potter and the Chamber of Secrets (2002)', 'Up (2009)', 'Monty Python and the Holy Grail (1975)']"
Titanic (1997) , Raise the Red Lantern (1991) , English Patient, The (1996) , Good Will Hunting (1997)	['Ace Ventura: Pet Detective (1994)', 'GoldenEye (1995)', 'Dances with Wolves (1990)', 'Apocalypse Now (1979)', 'Catch Me If You Can (2002)', 'Star Trek: Generations (1994)']
English Patient, The (1996) , Game, The (1997) , Money Talks (1997) , Fargo (1996)	['Apollo 13 (1995)', 'Ace Ventura: Pet Detective (1994)', 'Apocalypse Now (1979)', 'Full Metal Jacket (1987)', 'Jumanji (1995)', 'Titanic (1997)', 'Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)']
Manon of the Spring (Manon des sources) (1986) , Cyrano de Bergerac (1990) , This Is Spinal Tap (1984) , Room with a View, A (1986)	['Batman (1989)', 'Pirates of the Caribbean: The Curse of the Black Pearl (2003)', 'Blade Runner (1982)', 'Stargate (1994)', 'Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)', 'Interview with the Vampire: The Vampire Chronicles (1994)', 'Princess Bride, The (1987)', 'Donnie Darko (2001)']
L.A. Confidential (1997) ,  Full Monty, The (1997)	"[""One Flew Over the Cuckoo's Nest (1975)"", 'Catch Me If You Can (2002)']"
Fargo (1996) , Secrets & Lies (1996) , Shawshank Redemption, The (1994) , Amadeus (1984)	"[""Schindler's List (1993)"", ""Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)"", 'Four Weddings and a Funeral (1994)', 'Apocalypse Now (1979)', 'Léon: The Professional (a.k.a. The Professional) (Léon) (1994)', 'Lord of the Rings: The Return of the King, The (2003)', 'Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)', ""Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)""]"
Toy Story (1995) ,  Deer Hunter, The (1978)	['Incredibles, The (2004)', 'Finding Nemo (2003)']
Paradise Lost: The Child Murders at Robin Hood Hills (1996) , Psycho (1960) , Raging Bull (1980) , Shining, The (1980)	"['Willy Wonka & the Chocolate Factory (1971)', ""One Flew Over the Cuckoo's Nest (1975)"", 'Lord of the Rings: The Two Towers, The (2002)', 'Léon: The Professional (a.k.a. The Professional) (Léon) (1994)', 'Waterworld (1995)', 'Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']"
Emma (1996) ,  Anna (1996)	['Cliffhanger (1993)', 'Catch Me If You Can (2002)']
Titanic (1997) , Contact (1997) , In & Out (1997) , Scream 2 (1997)	"['American Pie (1999)', 'Clueless (1995)', ""One Flew Over the Cuckoo's Nest (1975)"", 'Outbreak (1995)', 'Dances with Wolves (1990)', 'Clear and Present Danger (1994)', 'Star Trek: Generations (1994)']"
Air Force One (1997) , Men in Black (1997) , Independence Day (ID4) (1996) , G.I. Jane (1997)	"['Monsters, Inc. (2001)', 'Net, The (1995)', ""There's Something About Mary (1998)"", 'Green Mile, The (1999)']"
Dante's Peak (1997) ,  GoodFellas (1990)	['Shining, The (1980)', 'Clear and Present Danger (1994)']
Fantasia (1940) ,  Terminator, The (1984)	['Four Weddings and a Funeral (1994)', 'Apocalypse Now (1979)']
Lone Star (1996) , Spitfire Grill, The (1996) , Fargo (1996) , Big Night (1996)	['Star Wars: Episode I - The Phantom Menace (1999)', 'Outbreak (1995)', 'Apocalypse Now (1979)', 'Incredibles, The (2004)', 'Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)', 'Up (2009)', 'Princess Bride, The (1987)', 'Dark Knight, The (2008)']
Scream (1996) ,  Sling Blade (1996)	['Outbreak (1995)', 'Interview with the Vampire: The Vampire Chronicles (1994)']
Money Talks (1997) ,  Jungle2Jungle (1997)	['Apollo 13 (1995)', 'Titanic (1997)']
12 Angry Men (1957) ,  Jerry Maguire (1996) ,  Contact (1997)	['Outbreak (1995)', 'Crimson Tide (1995)']
Titanic (1997) ,  Gattaca (1997) ,  L.A. Confidential (1997)	['Dances with Wolves (1990)', 'Star Trek: Generations (1994)']
Persuasion (1995) , Once Were Warriors (1994) , Room with a View, A (1986) , Enchanted April (1991)	['Indiana Jones and the Temple of Doom (1984)', 'Stargate (1994)', 'Finding Nemo (2003)', 'Heat (1995)', 'Net, The (1995)', 'Donnie Darko (2001)']
Toy Story (1995) , Star Wars (1977) , Contact (1997) , Boot, Das (1981)	['American Pie (1999)', 'Clear and Present Danger (1994)', 'Incredibles, The (2004)', 'Finding Nemo (2003)']
Mary Poppins (1964) ,  Clockwork Orange, A (1971)	['Fight Club (1999)', 'Pulp Fiction (1994)']
Arsenic and Old Lace (1944) , Graduate, The (1967) , Everyone Says I Love You (1996) , Silence of the Lambs, The (1991)	"['Aladdin (1992)', 'Memento (2000)', 'Die Hard: With a Vengeance (1995)', 'WALL·E (2008)', ""Ferris Bueller's Day Off (1986)"", 'Aliens (1986)', 'Eternal Sunshine of the Spotless Mind (2004)', 'Donnie Darko (2001)']"
My Fair Lady (1964) ,  Vanya on 42nd Street (1994)	"[""Schindler's List (1993)"", 'Big Lebowski, The (1998)']"
Toy Story (1995) ,  Mr. Holland's Opus (1995)	['Incredibles, The (2004)', 'Finding Nemo (2003)']
Godfather: Part II, The (1974) , Ransom (1996) , Bringing Up Baby (1938) , Groundhog Day (1993)	['Big Lebowski, The (1998)', 'Crimson Tide (1995)', 'Inception (2010)', 'Twister (1996)', 'WALL·E (2008)', 'Interview with the Vampire: The Vampire Chronicles (1994)', 'Godfather, The (1972)', 'Aliens (1986)']
Dead Poets Society (1989) ,  Schindler's List (1993)	['Catch Me If You Can (2002)', 'Donnie Darko (2001)']
Frighteners, The (1996) ,  Fargo (1996)	['Inception (2010)', 'Eternal Sunshine of the Spotless Mind (2004)']
187 (1997) , Peacemaker, The (1997) , Desperate Measures (1998) , Duoluo tianshi (1995)	['Net, The (1995)', 'Star Trek: Generations (1994)', 'Dark Knight, The (2008)', 'Donnie Darko (2001)']
Toy Story (1995) ,  Fargo (1996)	['Incredibles, The (2004)', 'Finding Nemo (2003)']
Sound of Music, The (1965) ,  Manchurian Candidate, The (1962)	['Four Weddings and a Funeral (1994)', 'Rock, The (1996)']
Groundhog Day (1993) ,  Leaving Las Vegas (1995)	['Aliens (1986)', 'Big Lebowski, The (1998)']
Chain Reaction (1996) , Twister (1996) , Shining, The (1980) , Independence Day (ID4) (1996)	"[""Schindler's List (1993)"", 'E.T. the Extra-Terrestrial (1982)', 'Outbreak (1995)', 'Léon: The Professional (a.k.a. The Professional) (Léon) (1994)', 'Waterworld (1995)', 'Independence Day (a.k.a. ID4) (1996)']"
Big Night (1996) ,  Welcome to the Dollhouse (1995)	['Up (2009)', 'Dark Knight, The (2008)']
Star Trek: First Contact (1996) , Titanic (1997) , Screamers (1995) , Fargo (1996)	['Beautiful Mind, A (2001)', 'Dances with Wolves (1990)', 'Apocalypse Now (1979)', 'Men in Black (a.k.a. MIB) (1997)', 'Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)', 'Up (2009)', 'Star Trek: Generations (1994)']
Princess Bride, The (1987) , Return of the Jedi (1983) , Star Wars (1977) , E.T. the Extra-Terrestrial (1982)	"['Truman Show, The (1998)', 'Willy Wonka & the Chocolate Factory (1971)', ""Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)"", 'Finding Nemo (2003)']"
Toy Story (1995) ,  Shining, The (1980)	['Incredibles, The (2004)', 'Finding Nemo (2003)']
Fly Away Home (1996) , Mr. Holland's Opus (1995) , Excess Baggage (1997) , Secrets & Lies (1996)	"['Trainspotting (1996)', 'Star Wars: Episode I - The Phantom Menace (1999)', 'Forrest Gump (1994)', 'Breakfast Club, The (1985)', ""Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)"", 'Lord of the Rings: The Return of the King, The (2003)', ""Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)"", 'Donnie Darko (2001)']"
Apt Pupil (1998) , Excess Baggage (1997) , Good Will Hunting (1997) , Seven Years in Tibet (1997)	['Beauty and the Beast (1991)', 'GoldenEye (1995)', 'Breakfast Club, The (1985)', 'Stargate (1994)', 'True Lies (1994)', 'Catch Me If You Can (2002)', 'Harry Potter and the Chamber of Secrets (2002)', 'Donnie Darko (2001)']
Rainmaker, The (1997) , Titanic (1997) , Good Will Hunting (1997) , MatchMaker, The (1997)	['Cliffhanger (1993)', 'GoldenEye (1995)', 'Dances with Wolves (1990)', 'Apocalypse Now (1979)', 'Léon: The Professional (a.k.a. The Professional) (Léon) (1994)', 'Catch Me If You Can (2002)', 'Clear and Present Danger (1994)', 'Star Trek: Generations (1994)']
Cement Garden, The (1993) , City of Lost Children, The (1995) , Celluloid Closet, The (1995) , Faust (1994)	['Saving Private Ryan (1998)', 'Men in Black (a.k.a. MIB) (1997)', 'Usual Suspects, The (1995)', 'Twelve Monkeys (a.k.a. 12 Monkeys) (1995)']
Paradise Lost: The Child Murders at Robin Hood Hills (1996) , Bram Stoker's Dracula (1992) , Titanic (1997) , Alien (1979)	['Lord of the Rings: The Two Towers, The (2002)', 'Dances with Wolves (1990)', 'Full Metal Jacket (1987)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Aliens (1986)', 'Star Trek: Generations (1994)']
One Flew Over the Cuckoo's Nest (1975) , To Kill a Mockingbird (1962) , Raging Bull (1980) , Sting, The (1973)	"['Ghost (1990)', 'Clockwork Orange, A (1971)', 'Willy Wonka & the Chocolate Factory (1971)', 'Clueless (1995)', ""One Flew Over the Cuckoo's Nest (1975)"", 'Interview with the Vampire: The Vampire Chronicles (1994)', ""Ferris Bueller's Day Off (1986)"", ""Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)""]"
Bram Stoker's Dracula (1992) , Top Gun (1986) , Braveheart (1995) , Scream (1996)	"['Trainspotting (1996)', 'Braveheart (1995)', 'Outbreak (1995)', ""Ocean's Eleven (2001)"", 'Batman Begins (2005)', 'Interview with the Vampire: The Vampire Chronicles (1994)']"
Star Trek: The Wrath of Khan (1982) , Titanic (1997) , Star Trek VI: The Undiscovered Country (1991) , Wallace & Gromit: The Best of Aardman Animation (1996)	['Beauty and the Beast (1991)', 'Dances with Wolves (1990)', 'Harry Potter and the Chamber of Secrets (2002)', 'Up (2009)', 'Ghostbusters (a.k.a. Ghost Busters) (1984)', 'Star Trek: Generations (1994)']
Private Parts (1997) ,  Cable Guy, The (1996)	['Goodfellas (1990)', 'Crimson Tide (1995)']
Titanic (1997) , English Patient, The (1996) , Amistad (1997) , Good Will Hunting (1997)	['Ace Ventura: Pet Detective (1994)', 'GoldenEye (1995)', 'Outbreak (1995)', 'Apocalypse Now (1979)', 'Dances with Wolves (1990)', 'Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)', 'Catch Me If You Can (2002)', 'Star Trek: Generations (1994)']
Scream (1996) , 2001: A Space Odyssey (1968) , For Whom the Bell Tolls (1943) , Schindler's List (1993)	['Clockwork Orange, A (1971)', 'Taxi Driver (1976)', 'Saving Private Ryan (1998)', 'Outbreak (1995)', 'Interview with the Vampire: The Vampire Chronicles (1994)', 'Godfather, The (1972)', 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Ghostbusters (a.k.a. Ghost Busters) (1984)']
Rock, The (1996) , Ransom (1996) , Happy Gilmore (1996) , Truth About Cats & Dogs, The (1996)	['American Pie (1999)', 'Speed (1994)', 'Crimson Tide (1995)', 'Twister (1996)', 'WALL·E (2008)', 'Independence Day (a.k.a. ID4) (1996)', 'Star Trek: Generations (1994)']
Contact (1997) , Game, The (1997) , Full Monty, The (1997) , Winter Guest, The (1997)	['American Pie (1999)', 'Apocalypse Now (1979)', 'Full Metal Jacket (1987)', 'Jumanji (1995)', 'Harry Potter and the Chamber of Secrets (2002)', 'Clear and Present Danger (1994)']
I.Q. (1994) ,  Empire Strikes Back, The (1980) ,  Magnificent Seven, The (1954)	['Monsters, Inc. (2001)', 'Twister (1996)']
Bullets Over Broadway (1994) ,  Sting, The (1973)	['Inception (2010)', 'Green Mile, The (1999)']
Toy Story (1995) ,  This Is Spinal Tap (1984) ,  Shawshank Redemption, The (1994)	['Incredibles, The (2004)', 'Finding Nemo (2003)']
Edge, The (1997) ,  Apt Pupil (1998)	['Lord of the Rings: The Two Towers, The (2002)', 'Donnie Darko (2001)']
Thin Man, The (1934) ,  Psycho (1960)	['Up (2009)', 'Firm, The (1993)']
Raging Bull (1980) , Clockwork Orange, A (1971) , 2001: A Space Odyssey (1968) , North by Northwest (1959)	"['Clockwork Orange, A (1971)', 'Willy Wonka & the Chocolate Factory (1971)', 'Taxi Driver (1976)', ""One Flew Over the Cuckoo's Nest (1975)"", ""Ferris Bueller's Day Off (1986)"", 'Monty Python and the Holy Grail (1975)', 'Net, The (1995)']"
Die Hard 2 (1990) , Back to the Future (1985) , Indiana Jones and the Last Crusade (1989) , Pink Floyd - The Wall (1982)	['Indiana Jones and the Temple of Doom (1984)', 'Aladdin (1992)', 'Jumanji (1995)', 'Die Hard: With a Vengeance (1995)', 'Departed, The (2006)', 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)']
Monty Python and the Holy Grail (1974) , Princess Bride, The (1987) , Fugitive, The (1993) , Rear Window (1954)	['Truman Show, The (1998)', 'Mission: Impossible (1996)', 'Beautiful Mind, A (2001)', 'Inception (2010)', 'Die Hard (1988)', 'Finding Nemo (2003)']
Toy Story (1995) ,  Silence of the Lambs, The (1991)	['Incredibles, The (2004)', 'Finding Nemo (2003)']
Boot, Das (1981) , Fargo (1996) , Dead Man Walking (1995) , Star Wars (1977)	['Memento (2000)', 'Cliffhanger (1993)', 'Apocalypse Now (1979)', 'Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)']
Big Night (1996) ,  Lone Star (1996)	['Up (2009)', 'Dark Knight, The (2008)']
Lawrence of Arabia (1962) ,  Koyaanisqatsi (1983)	['WALL·E (2008)', 'Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)']
Independence Day (ID4) (1996) ,  Phenomenon (1996)	"[""'71 (2014)"", ""'Hellboy': The Seeds of Creation (2004)"", ""'Round Midnight (1986)"", ""'Salem's Lot (2004)"", ""'Til There Was You (1997)"", ""'Tis the Season for Love (2015)"", ""'burbs, The (1989)"", ""'night Mother (1986)""]"
Ice Storm, The (1997) ,  In & Out (1997) ,  Liar Liar (1997)	['Up (2009)', 'Outbreak (1995)']
Pretty Woman (1990) ,  I.Q. (1994)	['Clueless (1995)', 'Harry Potter and the Chamber of Secrets (2002)']
Ice Storm, The (1997) , Fantasia (1940) , Lawrence of Arabia (1962) , Third Man, The (1949)	['Lord of the Rings: The Two Towers, The (2002)', 'Four Weddings and a Funeral (1994)', 'Outbreak (1995)', 'Apocalypse Now (1979)', 'WALL·E (2008)', 'Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)', 'Up (2009)', 'Green Mile, The (1999)']
Michael (1996) , Silence of the Lambs, The (1991) , Sling Blade (1996) , Fried Green Tomatoes (1991)	"['Speed (1994)', 'Cliffhanger (1993)', ""One Flew Over the Cuckoo's Nest (1975)"", 'Twister (1996)', 'Waterworld (1995)', 'Memento (2000)', 'Aliens (1986)']"
Toy Story (1995) ,  Fantasia (1940) ,  Titanic (1997)	['Incredibles, The (2004)', 'Finding Nemo (2003)']
This Is Spinal Tap (1984) , Forrest Gump (1994) , Delicatessen (1991) , Cop Land (1997)	"['E.T. the Extra-Terrestrial (1982)', 'American History X (1998)', 'Aladdin (1992)', 'Blade Runner (1982)', 'Interview with the Vampire: The Vampire Chronicles (1994)', ""Ferris Bueller's Day Off (1986)"", 'Clear and Present Danger (1994)', 'Good Will Hunting (1997)']"
Pink Floyd - The Wall (1982) , Apocalypse Now (1979) , Princess Bride, The (1987) , Cook the Thief His Wife & Her Lover, The (1989)	['Truman Show, The (1998)', 'Reservoir Dogs (1992)', 'Jumanji (1995)', 'Fargo (1996)', 'Waterworld (1995)', 'Finding Nemo (2003)']
Fallen (1998) , Midnight in the Garden of Good and Evil (1997) , Jackal, The (1997) , Air Force One (1997)	['American Pie (1999)', 'Trainspotting (1996)', 'Green Mile, The (1999)', 'Silence of the Lambs, The (1991)', 'Incredibles, The (2004)', 'Net, The (1995)', 'Finding Nemo (2003)']
Diva (1981) , Cinema Paradiso (1988) , Belle de jour (1967) , Four Weddings and a Funeral (1994)	['Matrix, The (1999)', 'Clerks (1994)', 'Big Lebowski, The (1998)', 'Batman Begins (2005)']
Mystery Science Theater 3000: The Movie (1996)	['GoldenEye (1995)', 'Spider-Man (2002)']
Patton (1970) , Boot, Das (1981) , Shining, The (1980) , Evil Dead II (1987)	['Jumanji (1995)', 'Léon: The Professional (a.k.a. The Professional) (Léon) (1994)', 'Waterworld (1995)', 'Beautiful Mind, A (2001)']
Toy Story (1995) , One Flew Over the Cuckoo's Nest (1975) , Heavy Metal (1981) , Wizard of Oz, The (1939)	['Ghost (1990)', 'Clockwork Orange, A (1971)', 'Green Mile, The (1999)', 'Incredibles, The (2004)', 'Interview with the Vampire: The Vampire Chronicles (1994)', 'Up (2009)', 'Finding Nemo (2003)']
Close Shave, A (1995) , Wrong Trousers, The (1993) , Much Ado About Nothing (1993) , Hunt for Red October, The (1990)	"[""Ocean's Eleven (2001)"", 'WALL·E (2008)', 'Batman Begins (2005)', 'Harry Potter and the Chamber of Secrets (2002)']"
